"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Normal Faults
"// 38 Neogene faults, central Crete, Greece (Angelier, 1979; Table 1)."
"// "
"// Angelier, J., 1979, Determination of the mean principal directions of stresses for "
"// a given fault population: Tectonophysics, v. 56, p. T17-T26."
"// "
// ------------------------------------------------------------------------------------
Strike,Dip,Trend,Plunge,Type
45.0,61.0,115.0,60.0,SL
36.0,59.0,145.0,58.0,SL
270.0,80.0,286.0,57.0,SL
232.0,68.0,292.0,65.0,SL
225.0,63.0,290.0,61.0,SL
290.0,88.0,293.0,59.0,SL
254.0,78.0,278.0,62.0,SL
36.0,60.0,155.0,59.0,SL
257.0,61.0,355.0,61.0,SL
67.0,56.0,153.0,56.0,SL
49.0,70.0,187.0,61.0,SL
216.0,50.0,312.0,50.0,SL
58.0,51.0,165.0,50.0,SL
79.0,62.0,195.0,59.0,SL
236.0,62.0,313.0,61.0,SL
214.0,61.0,275.0,58.0,SL
34.0,60.0,151.0,57.0,SL
37.0,63.0,138.0,63.0,SL
68.0,75.0,99.0,58.0,SL
49.0,53.0,139.0,53.0,SL
189.0,47.0,295.0,46.0,SL
237.0,45.0,296.0,41.0,SL
112.0,74.0,260.0,61.0,SL
205.0,42.0,296.0,42.0,SL
214.0,56.0,309.0,56.0,SL
37.0,77.0,202.0,48.0,SL
58.0,61.0,195.0,51.0,SL
248.0,58.0,6.0,55.0,SL
61.0,67.0,173.0,65.0,SL
28.0,58.0,168.0,46.0,SL
30.0,69.0,106.0,68.0,SL
41.0,63.0,144.0,62.0,SL
23.0,68.0,105.0,68.0,SL
249.0,48.0,346.0,48.0,SL
248.0,69.0,332.0,69.0,SL
195.0,68.0,310.0,66.0,SL
274.0,70.0,321.0,63.0,SL
267.0,71.0,0.0,71.0,SL
