//
// Example data file for Orient 3 (Vollmer, 2015)
//
// Facing directions of conically folded planes (Cohen, 1983 in Fisher, et al., 1987,
// Appendix B4 p. 282).
//
// Cohen, P.H., 1983, A computer based trend surface study of structural analysis: test 
// case from Lipson cove, South Australia. Ph.D. Thesis, University of Adelaide, South 
// Australia, 282 p.
//
// Fisher, N.I., Lewis, T.I., and Embleton, B.J.J., 1987, Statistical Analysis of
// Spherical Data: Cambridge University Press, 329 p.
//
// -------------------------------------------------------------------------------------
ID,Plunge,Azimuth,Type
1,48,269,Conical
2,57,265,Conical
3,61,271,Conical
4,59,272,Conical
5,58,268,Conical
6,60,267,Conical
7,59,265,Conical
8,58,265,Conical
9,60,265,Conical
10,59,263,Conical
11,59,267,Conical
12,53,267,Conical
13,50,270,Conical
14,48,270,Conical
15,61,265,Conical
16,40,95,Conical
17,56,100,Conical
18,67,95,Conical
19,52,90,Conical
20,49,271,Conical
21,60,267,Conical
22,47,272,Conical
23,50,270,Conical
24,48,273,Conical
25,50,271,Conical
26,53,269,Conical
27,52,270,Conical
28,58,267,Conical
29,60,266,Conical
30,60,268,Conical
31,62,269,Conical
32,61,270,Conical
33,62,269,Conical
34,60,270,Conical
35,58,272,Conical
36,59,271,Conical
37,56,271,Conical
38,53,270,Conical
39,49,273,Conical
40,49,271,Conical
41,53,270,Conical
42,50,274,Conical
43,46,275,Conical
44,45,274,Conical
45,60,270,Conical
46,68,268,Conical
47,75,97,Conical
48,47,95,Conical
49,48,90,Conical
50,50,95,Conical
51,48,94,Conical
52,49,93,Conical
53,45,93,Conical
54,41,93,Conical
55,42,95,Conical
56,40,96,Conical
57,51,100,Conical
58,70,104,Conical
59,74,102,Conical
60,71,108,Conical
61,51,99,Conical
62,75,112,Conical
63,73,110,Conical
64,60,100,Conical
65,49,95,Conical
66,44,93,Conical
67,41,91,Conical
68,51,92,Conical
69,45,92,Conical
70,50,95,Conical
71,41,89,Conical
72,44,93,Conical
73,68,100,Conical
74,67,270,Conical
75,73,261,Conical
76,50,275,Conical
77,40,276,Conical
78,60,275,Conical
79,47,277,Conical
80,47,276,Conical
81,54,273,Conical
82,60,273,Conical
83,62,271,Conical
84,57,275,Conical
85,43,277,Conical
86,53,275,Conical
87,40,276,Conical
88,40,279,Conical
89,42,277,Conical
90,44,278,Conical
91,60,280,Conical
92,65,275,Conical
93,76,270,Conical
94,63,275,Conical
95,71,276,Conical
96,80,255,Conical
97,77,105,Conical
98,72,99,Conical
99,80,253,Conical
100,60,96,Conical
101,48,93,Conical
102,49,92,Conical
103,48,91,Conical
104,46,91,Conical
105,44,90,Conical
106,43,89,Conical
107,40,89,Conical
108,58,96,Conical
109,65,105,Conical
110,39,90,Conical
111,48,76,Conical
112,38,91,Conical
113,43,91,Conical
114,42,91,Conical
115,49,90,Conical
116,39,95,Conical
117,43,90,Conical
118,44,92,Conical
119,48,92,Conical
120,61,95,Conical
121,68,100,Conical
122,80,135,Conical
123,60,98,Conical
124,49,92,Conical
125,45,90,Conical
126,62,99,Conical
127,79,175,Conical
128,79,220,Conical
129,72,266,Conical
130,76,235,Conical
131,77,231,Conical
132,71,256,Conical
133,60,272,Conical
134,42,276,Conical
135,50,276,Conical
136,41,275,Conical
137,60,273,Conical
138,73,266,Conical
139,43,276,Conical
140,50,274,Conical
141,46,275,Conical
142,51,274,Conical
143,56,272,Conical
144,50,273,Conical
145,40,270,Conical
146,73,103,Conical
147,57,95,Conical
148,60,98,Conical
149,54,96,Conical
150,71,111,Conical
151,54,96,Conical
152,50,92,Conical
153,48,91,Conical
154,48,90,Conical
155,51,90,Conical
