"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Ice C-Axes
"// 112 ice c-axes digitized from Figure 7 of Kamb, 1959."
"// "
"// Kamb, W.B., 1959, Ice petrofabric observations from Blue Glacier, "
"// Washington, in relation to theory and experiment: Journal Geophysical "
"// Research, v. 64, p. 1891-1909."
"// "
// ------------------------------------------------------------------------------------
Trend,Plunge,Type
5.0,67.0,C
9.0,9.0,C
22.0,64.0,C
27.0,16.0,C
27.0,52.0,C
28.0,19.0,C
32.0,58.0,C
32.0,68.0,C
34.0,11.0,C
38.0,16.0,C
45.0,13.0,C
45.0,72.0,C
49.0,3.0,C
51.0,29.0,C
52.0,40.0,C
55.0,19.0,C
56.0,30.0,C
57.0,21.0,C
58.0,23.0,C
58.0,37.0,C
58.0,12.0,C
60.0,33.0,C
61.0,22.0,C
66.0,27.0,C
68.0,20.0,C
69.0,31.0,C
71.0,20.0,C
76.0,18.0,C
76.0,78.0,C
80.0,28.0,C
82.0,28.0,C
84.0,31.0,C
95.0,3.0,C
95.0,35.0,C
97.0,19.0,C
99.0,58.0,C
99.0,25.0,C
103.0,64.0,C
103.0,54.0,C
105.0,35.0,C
109.0,18.0,C
117.0,11.0,C
129.0,4.0,C
132.0,16.0,C
134.0,25.0,C
137.0,12.0,C
175.0,49.0,C
191.0,42.0,C
192.0,61.0,C
199.0,13.0,C
202.0,49.0,C
202.0,44.0,C
207.0,72.0,C
215.0,38.0,C
217.0,58.0,C
221.0,33.0,C
224.0,61.0,C
233.0,15.0,C
234.0,11.0,C
235.0,29.0,C
237.0,16.0,C
237.0,12.0,C
237.0,50.0,C
240.0,14.0,C
241.0,40.0,C
241.0,11.0,C
241.0,45.0,C
243.0,23.0,C
245.0,33.0,C
246.0,23.0,C
247.0,63.0,C
250.0,32.0,C
251.0,19.0,C
252.0,37.0,C
252.0,15.0,C
255.0,21.0,C
255.0,10.0,C
256.0,16.0,C
258.0,13.0,C
259.0,5.0,C
261.0,35.0,C
262.0,28.0,C
266.0,40.0,C
267.0,25.0,C
268.0,3.0,C
271.0,20.0,C
271.0,5.0,C
271.0,10.0,C
272.0,63.0,C
274.0,13.0,C
275.0,13.0,C
276.0,18.0,C
278.0,40.0,C
279.0,33.0,C
284.0,22.0,C
286.0,59.0,C
286.0,11.0,C
289.0,18.0,C
290.0,15.0,C
292.0,6.0,C
294.0,56.0,C
295.0,33.0,C
296.0,17.0,C
297.0,21.0,C
315.0,25.0,C
316.0,19.0,C
317.0,14.0,C
331.0,81.0,C
340.0,63.0,C
345.0,16.0,C
352.0,26.0,C
355.0,24.0,C
