"// "
"// Example data file for Orient 3 (Vollmer, 2015)"
"// "
// Vly Bedding
"// 56 bedding planes measured from a fold in Ordovician graywacke, Vly Creek,"
"// Albany County, New York (Vollmer, 1981)."
"// "
"// Vollmer, F.W., 1981, Structural studies of the Ordovician flysch and "
"// melange in Albany County, New York: M.S. Thesis, State University of New "
"// York at Albany, Advisor W.D. Means, 151 p."
"// "
// -----------------------------------------------------------------------------
Strike,Dip,Type
179.0,29.0,S0
173.0,25.0,S0
171.0,25.0,S0
168.0,9.0,S0
10.0,19.0,S0
21.0,35.0,S0
17.0,41.0,S0
16.0,48.0,S0
11.0,39.0,S0
193.0,51.0,S0
20.0,30.0,S0
20.0,27.0,S0
62.0,4.0,S0
37.0,24.0,S0
92.0,6.0,S0
172.0,16.0,S0
193.0,61.0,S0
162.0,12.0,S0
185.0,35.0,S0
171.0,12.0,S0
169.0,17.0,S0
168.0,14.0,S0
169.0,90.0,S0
174.0,24.0,S0
185.0,20.0,S0
181.0,22.0,S0
184.0,25.0,S0
184.0,27.0,S0
186.0,67.0,S0
183.0,68.0,S0
10.0,79.0,S0
6.0,90.0,S0
5.0,68.0,S0
12.0,53.0,S0
8.0,59.0,S0
183.0,56.0,S0
5.0,82.0,S0
9.0,79.0,S0
192.0,28.0,S0
185.0,23.0,S0
197.0,18.0,S0
183.0,13.0,S0
184.0,13.0,S0
168.0,12.0,S0
181.0,10.0,S0
187.0,9.0,S0
180.0,23.0,S0
348.0,90.0,S0
165.0,52.0,S0
4.0,82.0,S0
171.0,17.0,S0
335.0,63.0,S0
327.0,83.0,S0
8.0,41.0,S0
0.0,72.0,S0
3.0,67.0,S0
